subjects	S	instruction	R	rt
1	left	speed	left	0.650781869641846
1	left	accuracy	left	1.50703536199785
1	left	speed	left	0.707981930204777
1	right	accuracy	right	3.47342247752497
1	left	speed	left	1.50483830345336
1	left	accuracy	left	2.07757239853168
1	left	speed	left	2.34586747285528
1	left	accuracy	left	0.802049461240735
1	right	accuracy	left	0.972742521386926
1	left	speed	left	1.20384905161631
1	left	accuracy	left	0.594526427888899
1	right	speed	left	0.723855493194209
1	right	accuracy	right	1.24717671396678
1	left	speed	left	0.867144975522831
1	right	accuracy	right	1.69370409096016
1	right	speed	right	1.71694001420295
1	right	speed	right	0.917387156804509
1	left	speed	left	0.609130791544601
1	right	speed	right	1.17890716833487
1	left	speed	right	0.756808140955062
1	left	speed	right	2.19939803933235
1	right	speed	right	0.916318538199165
1	right	speed	right	0.806787934240658
1	right	accuracy	left	1.08649036480571
1	left	speed	left	2.3142416939097
1	right	speed	right	1.44687083970799
1	right	accuracy	left	0.74890388794848
1	left	accuracy	right	2.11672393541293
1	left	speed	left	0.617230766152222
1	left	accuracy	left	0.637859140850663
1	left	speed	left	1.50603081470419
1	left	speed	left	0.722546699557696
1	left	accuracy	left	0.622587701919945
1	left	speed	left	1.27504654004453
1	right	accuracy	right	0.887902402544446
1	left	speed	left	1.36050639043312
1	right	speed	right	0.907128486294649
1	left	speed	left	0.557918115816597
1	left	accuracy	left	2.01472796281342
1	right	accuracy	right	1.37751389765475
1	right	accuracy	right	1.20826390176363
1	right	speed	right	1.15235489864902
1	left	speed	left	0.736319144135996
1	left	speed	right	0.611216400004358
1	right	accuracy	right	1.44971337391923
1	left	accuracy	right	1.79907681001773
1	left	accuracy	left	0.773311023415854
1	left	accuracy	left	0.935502773550684
1	right	accuracy	right	2.41870452669865
1	right	speed	left	1.06291731425966
1	left	speed	right	0.608403920388476
1	left	accuracy	left	1.66962240765671
1	right	accuracy	right	1.28843793681948
1	left	speed	left	0.736404659153453
1	right	accuracy	right	1.3346486172787
1	right	speed	right	0.541975034809822
1	left	accuracy	left	0.86396853408083
1	left	speed	left	2.74960803044814
1	left	accuracy	right	1.80687005069807
1	right	speed	left	1.2683605730631
1	left	accuracy	right	0.935382647476245
1	left	speed	left	2.41821769161472
1	left	speed	left	0.913664517397271
1	right	accuracy	right	1.46321140456512
1	right	speed	left	1.37720483546262
1	left	speed	left	0.700539510335717
1	right	speed	right	0.63797822194998
1	left	accuracy	left	1.03350546015396
1	left	accuracy	right	0.693628865979638
1	left	accuracy	left	1.06589173704807
1	left	speed	left	0.739647321763027
1	left	speed	left	1.39544715846484
1	left	accuracy	left	0.866005209072791
1	right	accuracy	right	2.28752772399057
1	left	accuracy	left	0.714913492796321
1	left	speed	right	0.957028574871392
1	right	speed	left	0.574252580152975
1	right	speed	right	1.59503249786357
1	left	speed	left	0.735060417193613
1	right	speed	right	0.808082301487525
1	right	accuracy	right	0.917782819495716
1	right	speed	right	0.779883450680486
1	right	speed	left	1.03776379680769
1	left	accuracy	left	0.697757757424168
1	left	accuracy	right	3.68869234608829
1	left	speed	right	0.809294814866873
1	right	speed	right	0.649017882624729
1	left	accuracy	left	1.24648449975241
1	left	accuracy	left	2.63858892998519
1	left	accuracy	left	1.34265233546386
1	left	speed	left	0.97326900794449
1	left	accuracy	left	1.08288440747366
1	right	speed	right	0.721444521049728
1	left	speed	right	1.80193483387123
1	right	accuracy	right	1.19546328555056
